score,user,message,date,thumbs_up,reply_content
5,Naya 1022,"Applikasinya sangat membantu sekali, terimakasih siap kerja memudahkan saya mencari info lowongan pekerjaan selain itu banyak informasi menarik mengenai pelatihan dan pengembangan diri agar kita lebih siap masuk ke dunia kerja recommended sekali",2023-01-17 07:57:29,0,
5,FTK_Iman Sinergi,"makasih siapkerjaa, didalem appsnya nih banyak macem pelatihan mana banyak yang gratis pula jadi kebantu banget buat aku yang fresh grad buat nyari ilmu lagi, aplikasi ini juga mempermudah saya untuk mencari pekerjaan",2023-01-17 06:59:04,2,
5,Ikhda Annisa,"Aplikasi SIAPkerja sangat bagus, apalagi banyak fitur-fitur yang menurut aku sangat membantu bagi aku yang belum punya pengalaman kerja. Dan juga gunain aplikasinya nggak ribet.",2023-01-20 21:47:20,2,
5,393_Asriani Annisa Amran,"makasih banget buat aplikasi siapkerja ini, membantu banget untuk aku yang belum punya kerjaan karna disini banyak lowongan-lowongan, ui ux nya juga keren banget dan pastinya user friendly",2023-01-18 03:24:38,0,
5,Pramadita Renanda,"Aplikasinya bagus karena banyak pelatihan buat peningkatan kompetensi, job opprtunity, dan lowongan pekerjaan. Makasih siapkerjaa👍",2022-12-21 15:16:38,4,
5,Azzahra Salsabila,Aplikasi SIAPkerja sangat cocok digunakan bagi saya yang belum memiliki pengalaman kerja. Banyak lowongan pekerjaan yang bermacam-macam. Dan terdapat banyak pelatihan juga yang dapat dimanfaatkan dalam proses persiapan sebelum bekerja.,2023-01-21 14:50:32,0,
5,Monica Rizky Tiarasari,"Aplikasi ini bagus banget, sangat membantu aku yg belum dapet kerja dan lagi cari info lowongan. Fiturnya simpel jadi mudah buat dimengerti. Terima kasih siap kerja sudah membantu saya dalam mencari lowongan pekerjaan.",2023-01-18 03:43:42,0,
5,Aurelia Anindhita A 3,tampilan aplikasinya menarik dan isi dari aplikasinya sangat membantu bagi para pencari kerja dan bagi teman-teman yang ingin meningkatkan skill karena terdapat banyak course gratis yang dapat diikuti,2023-01-21 06:14:59,0,
5,Anindya Prima Nirmanda,"Memudahkan saya untuk mencari pekerjaan. Apk ini sangat bermanfaat untuk para freshgraduates seperti saya yg ingin cari pekerjaan. Akhirnya ada apk yang bermanfaat untuk Indonesia dalam memberantas angka pengangguran, the best Siapkerja! 🔥",2023-01-18 02:52:29,0,
5,Agnes Andrian,"aplikasinya sangat mempermudah, mulai dari aktivasi hingga fitur-fitur didalamnyaa, tidak hanya untuk pencarian kerja namun untuk pengembangan skill hingga memperluas kesempatan kerja pada tenaga kerja",2023-01-15 04:00:14,1,
5,Haura azz,"aplikasi yang sangat membantuu karena meberikan info seputar pelatihan, lowongan kerja dll. selain itu, penggunaannya cukup mudah dimengerti. terima kasih banyak SIAPkerja",2023-01-22 11:17:00,0,
