score,user,message,date
1,Muhammad Aditya Assiddiqi,"ini aplikasi apaan dah, kok aplikasi pemerintah jelek amat sih, ui/ux nya aneh, klik fitur kok rata rata masuk ke website ?? kalo gitu ga usah bikin apk. cukup di website aja,, mana loading lama banget, terus nyoba fitur filter di skillhub jadi ""online"" masih tetep muncul semua gak jadi online only. bukan hanya gua doang, yang lain pun merasa heran.. speechless. harusnya tiap bulan ada pembaharuan/mainten, last update januari ya pantesan banyak bug. semoga bisa cepat di perbaiki ya ""Apk"" nya..",2025-07-26 02:09:27
1,Mutia Asaidah,"Niat mah mau bikin AK1 via online biar gak harus jauh pergi ke disnaker dan gak cape. Tapi malah dibikin kesulitan pada saat mau bikin akun, jadi si kode otpnya gak nyampe nyampe kesayanya padahal notlpnya sudah sesuai. Dimohon kepada kemnaker untuk diperbaiki bugnya. Soalnya kalau aplikasinya lancar tanpa bug bakalan memudahkan banget buat para pencari kerja. Terimakasih🙏🏻",2025-06-27 15:30:15
1,WN NW,"tolong dong ini aplikasi dari pemerintah milik negara, banyak minus/bug yang harus diperbaiki. 1. Kode otp nomor susah muncul. 2. Pencarian Pelatihan kerja/skill dari kemnaker di SkillHub eror, tidak muncul gambarnya hanya loading sampai 1 jam. Kalau muncul nanti pas mau daftar pelatihan eror lagi. 3. Pencarian pelatihan kerja untuk opsi SELANJUTnya juga lebih parah gak muncul/gak keluar gambarnya sama sekali. Ini juga berlaku untuk pencarian kerja di luar negeri dan dlm negeri untk opsi filter.",2025-06-25 07:41:57
1,alip nurwahid,"pada bagian keahlian, tanda cancel (x) ngga bisa muncul kalau memasukkan keahlian. Jadi tanda cancel (x) nya itu keluar dari layar hp, mau hp nya lanskap atau potrait tetap aja ngga bisa muncul karena terlalu panjang. Saya kira itu tidak akan satu baris panjang seperti itu.",2025-06-12 07:46:08
1,Lestari Sendang,pas saya masuk sudah aneh...tidak merespon dengan baik...pas dimasukin email-nya udh di isi tinggal kirim kode otp palah ngga muncul muncul...bolak balik ngecek ngga ada notip kode otp sama sekali..giliran mau ngulang malah udh terdaftar...gimana sih nih cara kerja aplikasinya..bukannya mempermudah malah mempersulit...tolong diperbaiki lagi..,2025-06-10 08:46:10
1,Jasmine claire,"apk ini sebenarnya bagus, tapi ketika di klik karirhub malah di alihkan ke chrome, mending buka di chrome aja sekalian, jd gak perlu download apk ini. useless sekali, mana ngebug nya keterlaluan banget 😓 tolong di perbaiki lagi. ini apk di buat untuk anak bangsa biar makin mudah akses pekerjaan, bukan malah jadi mempersulit seperti ini",2025-06-01 16:00:00
1,Oktavia Damayanti,"sudah bagus ada niat buat apk pembantu pekerja spt ini, tapi di hp saya gk jelas setiap mau klik program skill dll selalu lari ke chrome dan ujungnya gk bisa ikut program apapun. Tolonglah perbaiki bkn cm saya doang yg gk bisa ikut program yg ada di apknya",2025-05-04 06:56:02
1,Sapphire,"30 Menit nunggu kode OTP, gak masuk-masuk. Padahal sudah ada keterangan ""Kode OTP atau aktivasi berhasil dikirim, mohon cek hp kamu."". Sudah di cek berkali-kali ke aplikasi pesan, tidak pernah muncul sekalipun, bahkan notifikasinya juga tidak ada. Padahal saya lagi butuh buat akun, karena AK1 ini menjadi persyaratan yang harus saya penuhi buat ngambil Ijazah di sekolah. Kalau terus-terusan seperti ini dan tidak ada perubahan sama sekali... Dahlah...",2025-07-26 12:41:41
1,azh zahra,"maaf tapi aplikasi ini sangat tidak layak pakai, bug nya parah bgt, saya butuh kode otp untuk daftar akun tapi saya tidak pernah dapat kode tersebut, sudah ganti nomor pun masih saja tidak dapat lalu harus bagaimana tolong solusinya?? setelah saya coba berkali-kali malah tidak bisa daftar lewat aplikasi, tiba tiba saja layar menghitam saat login di aplikasi, setelah saya coba ternyata hanya bisa lewat chrome itu saja kode otp masih tidak terkirim, aplikasi macam apa ini!!!",2025-06-26 03:15:08
1,Indi Putria Pradani M2,"mohon maaf, saya mau daftar akun karna memang belum pernah sama sekali menggunakan apk ini, tapi ketika daftar otp tidak muncul dipesan, sampai bolak balik saya cek, trus pas saya coba ulang daftar keterangan nya nik sudah terdaftar, sementara pendaftaran itu belum selesai karna otp, mohon diperbaiki biar tidak mengecewakan orang",2025-05-26 11:51:17
