score,user,message,date
4,Yoyok Rpm,saya kasih ranting 4 biar ke baca ..saya minta tolong buat benerin aplikasi ini ...kenapa udah mau klaim aplikasi tiba tiba eror dan tidak bisa di buka lagi kenapa erornya pas di waktu pengklaiman..mohon di benerin kasihan pihak lain mau klaim tdak bisa,2025-05-19 07:04:34
4,Viki Kamal Jati,"kalau bisa buatkan sistem simpan otomatis soalnya ponsel saya ram 3gb jadi setiap saya mengunggah berkas malah memulihkan, beruntung nya ternyata ada situs webnya jadi saya bisa pakai komputer saya",2025-05-07 05:36:47
4,Rizky Ridho,"Appikasinya sebenarnya sudah bagus. Karena dapat membantu kita untuk mencari lamaran kerja. Cuman masih sering arahnya ke chrome. Tolong donk diperbaiki lagi. Lebih baik ketika melamar, langsung diapplikasi langsung aja",2024-12-10 08:04:53
4,Rizky ridho,"Applikasi sebenarnya udah bagus. Cuman sayang setiap mau lamar diahlikan atau diarahkan ke web nya. Kalau bisa usahkan di dalam applikasi nya aja. Sama yang aku heran, setiap aku lamar di sini kok ga ada respon. Mohon agar diperbaiki dan ditingkatkan lagi",2025-04-23 00:19:29
4,Humairah,"aplikasinya sering error 🙃, apalah dia, orang minta kode OTP pas masuk kodenya malah di bilang kode kadaluarsa dan harus menunggu satu jam lagi buat dapat kode baru ToT",2025-06-11 10:46:36
4,Agus Sugyano,"Pengisian data pada lapor phk sulit sekali masuk village not required muncul terus padahal data sudah sesuai ""?""Dan kalau di tinggal langsung ndak bisa di terusin parahnya harus instal ulang untuk masuk lagi tolong di perbaiki",2023-10-12 01:28:59
4,Mukti Purnama,"tolong di perbaiki lagi soal ubah data diri dan sebagainya tdi pas sya coba 19/12/2023 08:35wib soal tanggal lahir saya tidak bisa ada informasi ""tidak sesuai dengan dukcapil"" tolong di perbaiki lagih ya untuk itu",2023-12-19 01:40:27
4,Dhea Astri Amelia Putri,"Waduh ini gmna ya,saya udh terdaftar di aplikasi tp k3tika login lg gabisa alhasil uninstal dan instal terus2 an Mohon diperbaiki ya aplikasinya sering terjadi error😔",2025-03-17 04:56:09
4,Jefri A,"Aplikasinya sudah akurat,Mudah masuk dapat OTP mudah login dan Lain lain, alangkah baiknya datang offline dulu ke kantor Disnaker masing2,. Baru aplikasi ini berjalan semestinya",2023-05-29 12:15:24
4,Rama Arahman,"Mohon maaf aplikasinya lama mengirip kode OTP nya sampe nunggu 10mnitan, dan ketika saya upload foto profile loadingnya lama banget",2023-02-18 02:18:00
4,Amar Rifki,kepada bapak ibu yg terhormat untuk aplikasi seperti ini membantu SDM Indonesia tolong agar selalu memperhatikan update atau pemeliharaan aplikasi ini,2025-05-12 05:30:53
4,Amsar Amzar,"mau claim susah banget,udah cari kerja susah bagian ada program malah JKP dipersulit.",2025-06-18 03:09:34
4,Mahardika Putra,Programer yg bikin apk ini bener2 gk kompeten.. knpa semua yg berhubungan dengan negara selalu ribet kayak gini... apa gk update data2 nya... kebnyakan di korupsi anggaran nya,2023-06-20 02:38:24
4,MUHLIS,Kenapa akun saya tidak bisa masuk ? Padahal emal ama password uda bener.. sy login di website bisa tapi di aplikasi tidak bisa tolong di perbaiki mungkin ada bug,2023-06-08 02:49:17
4,S 4 chanel,Kenapa dibagian pengerjaan asesmen terus gagal dari tadi & di fitur lapor PHK juga terus error untuk melengkapi dokumen. Mohon segera diperbaiki...,2024-02-01 09:44:16
4,JHØĒ Bāñqszãtsz (R_geminius_xv),"bagian nama lembaga pendidikan sama jurusan, tidak mengeluarkan huruf abjad di keyboard, hanya angka saja. tolong di perbaiki",2025-04-10 04:26:01
4,Aprilia kristanti,Bagus lebih bagus tidak usah dibikin aplikasi nya sebab percuma saja dibuat ujung-ujungnya lewat web juga. Sekian terimakasih,2024-07-28 16:24:12
4,Ragil Prana Yudha,Belum bisa login sampai sekarang tolong diperbaiki dong dari dulu belum bisa login,2023-01-31 04:16:32
4,Muhammad Iksan Syahban Iksan,Aplikasi siapkerja sangat membantu untuk cari pelatihan ingin di daftar,2023-03-30 08:54:26
4,Azka Zahrani,Bagus Sangat membantu saya dalam mencari pembelajaran tentang skill yang bisa saya kembangkan,2023-11-06 08:13:50
4,Meidrik Ousama Binladen,"Bintang 4 dulu sorry, kode OTP tak kunjung terkirim. Nunggu dari pagi nyampe malem loh. Nambah 1 lagi ntar kalo aktivasinya udah jadi.",2023-08-03 14:53:09
4,Assya Fifa,"Knp akun jkp saya tiba2 tidak terdaftar,klaim k 5 tidak cair,tiba2 malah tidak terdaftar",2024-04-23 13:36:20
4,Rafles Dewita,Untuk pelatihan yang di berikan cukup bagus dan sangat membantu,2024-02-27 12:14:13
4,Andre Drean,Makin banyak aplikasi pemerintah bukannya nambah bagus pelayanannya malah makin ngak ada guna dibikin apknya,2023-05-03 06:59:18
4,vivo y15,cara mereset ulang data misalnya foto ktp dan ijazah atau KK gmn ya min. kemarin data saya gk di terima disnaker krn di aplod ftocopy nya.,2024-03-13 08:35:33
4,Rurry,"tolong bantu saya, saya mau daftar tapi nik saya sudah terdaftar disini pas saya mau chat bantuan saya diarahkan ke web tapi tetep harus log in itu gimana dah ceritanya. tolong bantu saya",2025-07-25 12:05:48
4,Meli Ana,Utk apk siap kerja tidak bisa utk ganti email nya,2023-04-13 05:37:29
4,Sahri Kalong,"Bagus, buat info loker atau perusahaannya tolong di tambin lagi, baik pt ataupun yang lain terimakasih👍",2025-04-18 11:11:35
4,Surya Zall,penggunan aplikasi tergolong mudah dan belum ada kendala. Aplikasi ini membantu masyarakat.,2023-11-04 05:02:07
4,Latifah tri yuzhari,Aplikasi ini sangatlahh baguss dan keren sesuai yang kita butuhkan,2023-01-20 01:55:16
4,Suharis Haris,Gak bisa daftar nik KTP udah terdaftar,2024-02-02 02:55:14
4,SATU channel,Info sedikit akun ini satu akun sama akun kartu prakerja atau bsu dan akun2 lain dari kemnaker makanya ada yg ktp sudah terdaftar.,2022-11-06 08:54:53
4,renal wraping sticker,"Saya mau klaim jpk yang bulan ke 6 tanggal 13 november 2024,tapi diarahkan lanjutkan misi dan mundur klaim menjadi tanggal 06 desember...mohon solusinya",2024-11-12 18:30:20
4,Agung Kentir,"Ok cukup membantu,tapi terlalu membingungkan jika proses klaim JKP",2024-07-01 02:22:10
4,Wahyu Widjayanto,Untuk Domisili Hanya tersedia daerah Kabupaten. Daerah Kota tidak ada.,2024-07-31 08:43:47
4,S13ES,Sangat membantu bagi pencari kerja,2024-12-07 14:44:15
4,Raudah Raudah,"Aplikasi loadingnya agak lama, apakah bnyk yg pake?",2023-10-07 05:02:43
4,Satrio Cihuy,Tolong dong kok gak bisa verivikasi pendaftaran,2023-02-15 13:12:12
4,Tri Yenti,Ya Allah susah banget verivikasi swafotonya.,2023-03-05 23:38:15
4,yuhan Wahyudi,Agak lama loading nya..,2024-01-11 08:11:50
4,Aziziah Wa'dah,aplikasinya sangat berguna dan bermanfaat,2023-01-18 16:10:24
4,Hendri Joharmansyah,Selalu memudahkan saya tuk mencari pekerjaan,2023-01-16 09:53:55
4,tuti andriani,Mohon info ya cara untuk mengganti nomor hp bagai mana nya,2023-01-19 09:37:30
4,M N Anugrah,Susah upload sertifikat 🙏,2023-02-24 06:15:45
4,Jatmiko,Aplikasi bagus ni. Semoga bermanfaat,2023-02-22 16:49:27
4,Teh Yati,Bisa akses lowongan kerja,2023-08-21 06:00:35
4,Lika susanti,Tidak bisa ubah alamat domisili yg salah,2023-06-24 07:08:05
4,Wiwin Ratnasari,Apk y keren bisa membamtu,2023-10-12 11:13:32
4,Adam malik,Kenapa kok kita mau ID an di persulit,2023-03-03 00:21:18
4,Sugianto Sugianto,Sangat membantu,2025-03-02 14:16:15
4,Dean Kashari,Baguss apk nya,2024-05-22 06:43:15
4,Zulkifli Zoel,Mantaab dan serta membantu,2023-10-16 10:57:29
4,Dede Wiwit,lama dalam penanganan,2025-04-11 04:45:56
4,Hiri Hariri,4 bintang duli baru pemula,2023-09-18 12:00:16
4,Wayan Yudiana,Tudak bisa dibukak di hp saya,2024-02-01 04:48:15
4,Rano Jnx,Pencairan dana lama,2024-09-23 02:05:24
4,BANG JO,Sungguh bermanfaat,2023-05-05 13:35:30
4,Dede Sunandar,Liat faktanya dl,2023-02-13 15:10:04
4,ARIPIN,Good,2024-05-08 11:22:13
4,ILHAM CAHYO,Bagus,2024-04-11 12:13:25
4,Bang Ki,lemot,2023-12-20 11:08:30
4,Godifridus Kolne,Mantap,2023-09-20 13:46:38
4,Mifta Khudin,Sangat bagus,2023-05-09 00:25:10
4,Agustinus Jurgen Saminta Saminta,bagus,2023-03-02 09:37:06
