score,user,message,date
2,Nur Afifah,"Kenapa ngga bisa dapet otp padahal udah ada pulsa, memori ga penuh, nomer masi aktif tp ttp ga bisa",2025-07-02 03:22:06
2,Gemilang Paripurna,sudah dicoba terus tidak bisa mengikuti program pelatihan sama programnya kok cuma sedikit,2025-07-07 04:52:49
2,Sardhi 65,"Aplikasi pemerintah gk ada yg bener. Semua rating di bawah 3. Asal dapat dana bikin aplikasi asal jadi, sisa duitnya di embat",2025-07-02 02:22:56
2,frans008,"Sering erorr, bahkan sudah melakukan swapfoto pun tidak tersimpan meskipun sudah berulang kali dilakukan. Rusak ini aplikasi sekaligus program nya",2024-07-03 05:24:39
2,Zubair Zainulzarnubi,"aku dari web pindah ke aplikasi ini, pas buka aplikasi nya mau ke tampilan karirnya malah disuruh ke web lagi, apalah",2025-06-02 05:09:35
2,Faizal Kurniawan,Jika aplikasi sudah bentuk app jangan lempar ke web lagi. Sama saja ktp elektronik minta fotokopi 😅,2025-06-19 13:24:20
2,Zahrii FT,"apk sekelas pemerintah malah kaya gini, email gw ga pernah daftar malah tulisan nya malah terdaftar kocag emang",2025-05-17 09:56:31
2,Suzy Deka,Mending ngak usah pakai aplikasi kaya gini dech.. Kadang ngak muncul dihp saya padahal dibuka di komputer sudah diterima kerja tapi dihp saya belum apa apa.. Haduch binggung juga saya jadinya....,2024-01-27 10:53:23
2,Anton McCarly,"Banyak yang perlu diperbaiki baik Fitur, fungsinya dan untuk klaim JKP sering terjadi kendala informasi yang membingungkan ditambah tidak bisa cair untuk contacts support susah dihubungi",2024-06-17 09:43:15
2,Jami Addin,Kenapa lelet sekali ini aplikasi.. ampun dah . Lelet nya minta ampun. Bukan salah dari hp nya yah.. aplikasi tolong diperbaiki,2023-07-07 06:00:18
2,REVIEW FACT,"applikasi pemerintahh!!! yang dimana sangat tidak membantu, terutama saat pergantian no tlfn dan email, , terlalu tibet dan bertele-tele",2024-07-14 07:46:19
2,Isna Izzat,"Udh ngisi biodata lengkap, tapi gak bisa daftar pencari kerja nya... Gimana sih... Selalu error tulisannya, mohon diperbaiki",2024-05-07 15:26:23
2,Bambang Ismail,"Apakah aplikasi ini lulus QC? Proses swap poto membingungkan, kepala saya hampir coplok mutar muter kepala hampir sejam, akhirnya malah ga jadi karena udah emosi",2024-09-09 04:17:12
2,Bayu,"Bagian edit profil dan ubah nama Ketika nama sudah di ubah setelah di simpan, nama tetap tidak berubah rubah Tolong lah sekedar nama doang gabisa di ubah",2024-05-06 06:18:58
2,essy nurmala,"Klaim jkp susah banget,sudah isi semua data tapi ketika upload berkas tidak bisa padahal ukuran dokumen kurang dari 15mb",2023-05-16 07:23:34
2,Muh Nursin (Usin),"Bintang 2 banyak terjadi bug atau apa, contoh nya saat saya mau maelakukan proses asesmen serta saat mencari pekerjaan deng radius 200km hasilny sama saja dengan yang radius 5km",2024-05-14 15:31:19
2,SP Simanjuntak,"Gila ini Aplikasi bisa bisa nya saya tidak terdaftar secara NIK jelas jelas saya pindah dari Pekanbaru ke Jakarta dengan surat lengkap, dan update KTP di Jakarta tanpa ada prosedur lagi, dibilang saya ga terdaftar... Gila",2022-10-27 13:38:52
2,Yngwie Vito Bratta Doppen,"Ini kenapa saya tidak bisa daftar, pas mau daftar malah ada tulisan NIK KTP sudah terpakai, padahal saya tidak pernah mendaftar sama sekali, mohon diperbaiki jika ada yang salah",2025-01-09 11:54:59
2,zyuhsyii Zahra sena,saya mau melengkapi data di profil kox gak bisa ya??dari kemarin loh saya mau melengkapi data untuk verifikasi. tolong dong solusinya saya mau guna buat melengkapi data kerja keluar negri ini kepending karena mau melengkapi data saja susah😔😔,2023-05-21 02:13:10
2,BUDI SANTOSO,"Tidak ada menu ubah no hp di pengaturan akun, kalo lewat website otp ubah no hp tidak terkirim, sistem pemerintah kok kaya gini ya...",2023-05-10 23:14:08
2,Muhamad Barkah,"loading lama ,gangguan terus ,kurng kondusif kalau gini",2025-06-26 04:23:33
2,Dhe'k vlog,"Aktivasi ga masuk masuk, susah bgt ya? OTP nya itu loh.. Bukannya memper mudah malah mempersilit, mempersulit magsudnya",2023-07-19 02:08:57
2,Riko Iskandar,kedepan Aplikasi Siap kerja bisa membantu membuka akses informasi lowongan kerja yg Transparan & menghilangkan para calo ² yg meresahkan .,2025-03-27 12:35:51
2,Mocha,"Performa aplikasi buruk, slow dan masih butuh penjelajahan web, tidak stay di aplikasi.",2025-04-19 12:06:57
2,YULINX,Assalamualaikum ini kenapa di hp saya tidak bisa di buka ??? Apaakah solusi dari ini ?? Saya ingin membiat kartu kuning secara online .kalau misal nya tidak bisa support di hp kentang seperti saya gimana saya cari pekerjaan ? Apakah harus beli hp berjuta juta hanya untuk bisa mencari pekerjaan . Duit dari mana saya kerja juga belum perbaiki dulu ini apk,2024-04-24 22:43:21
2,Ari Nugraha,Mohon untuk disempurnakan kembali aplikasi nya. Terlalu sering error support. Sayang sumber dana lebih apk kurang mumpuni 🙏,2024-06-01 15:30:24
2,Suryani Yani,aplikasi nya sering bug.dan buka lowongan kerja selalu GK bisa.mempersulit rakyat,2025-06-10 13:43:28
2,Johan anglers,kenapa jadi error aplikasi nya.. apakah ini permainan biar tidak bisa klaim jkp,2025-05-14 05:43:04
2,Meli Susilawati,tolong jika mau ubah password bisa verifikasi dengan email lah karena no hp terkadang sudah tidak aktif. mohon diperbaiki,2024-06-05 18:02:48
2,Ferdi Ilyas,"Mohon diperbaiki, saya mencoba beberapa kali upload berkas yang diperlukan dan meng klik ikuti pelatihan, tapi error ""failure response"".",2023-01-12 01:38:04
2,Singgih Prasetiyo Budiarjo,"Mohon maaf, kenapa saya daftar tetapi belum bisa dan ada notif (sedang menyiapkan profil kamu), Berjam jam belum selesai. Mohon bantuannya 🙏",2024-05-06 05:33:45
2,Rio Febriansyah,Tolong perbaiki tidak bisa memasukkan koma pada nilai akhir sekolah. Masalah ini harap diperbaiki,2024-08-29 04:11:29
2,Akmal Ganteng,"Belum daftar, tapi waktu pendaftaran ada keterangan nik sudha terdaftar",2024-11-11 03:23:56
2,Bergas Randu,Saya baru download karena untuk mendaftar yang teknik otomotif ketika di klik malah kembali ke halaman awal,2024-05-08 12:46:00
2,Nur Cahya,Akun saya ter log out Saya tidak bisa login terus sampai saat ini padahal akun sudah terdaftar lama.,2023-01-16 05:17:12
2,alief azzali,Cara klaim JKP tidak jelas...asesmen error tidak bisa diakses...buka dibrowser bad gateway...duh duh duhh...,2023-07-04 16:56:24
2,Bagas Kurniawan Bakti,Kok apk sering log out sendiri sih..mau edit data pun juga tidak bisa,2023-12-16 13:35:10
2,Erdin Zakaria,"Mau ngerubah domisili tidak bisa,,tertera ""the identity village field is required"" padahal udah ke isi semua,,😞",2023-08-16 06:38:36
2,caa junior,Setiap minta OTP error mulu kasih bintang 2 dulu kalo udah gak error baru tambah bintang,2023-08-05 00:58:52
2,Heri asikin,Pusing dibawa kewebsite mulu udah diwebsite muter muter trus nggak ada halaman kelas yang sedang diikuti/terdaftar itu apa aja trus seacrh nya nggak responsif mau cari kelas online atau offline aja nggak mundul,2023-09-26 06:02:50
2,Muhammad Fadhli,Saat memasukkan nama ibu kandung salah terus padahal sudah sesuai tolang perbaiki databasenya jadi g bisa daftar,2024-11-15 02:51:41
2,ARc Yusril Mahendra,"Mengikuti pelatihan instalasi listrik rumah sederhana dari bulan Februari s/d awal bulan April, namun sertifikat BNSP belum keluar sampai sekarang. Saya mengikuti pelatihan tersebut d UPTD BLK KAB SUMEDANG.",2024-09-19 02:43:54
2,Muhamad Awalludin Nurmajid,"ini gimana cerita nya di suruh install aplikasi malah di lempar ke browser, percuma donk pake aplikasi juga.",2024-05-29 02:56:24
2,safitri Baeduri,Sudah Masukin 8 Lamaran sekitar 2 mingguan lebih tapi belum ada juga yang merespon Bener Gak sih Ini applikasi pencari kerja hmmm,2024-02-26 04:01:30
2,Harmoko Ko,Mohon maaf aplikasinya tolong di perbaiki untuk akses skil hub trus mengikuti pelatihan tidak bisa,2024-03-17 14:18:04
2,Fahad,tombol keluar apk gak ada .. dan kadang pula sering error leg,2024-08-27 14:44:42
2,Crescent Moon79,"Sepertinya error, tidak bisa menampilkan deskripsi pekerjaan",2025-04-14 23:02:17
2,Encem Ajah,lucu banget ni udh dilampirin surat dr perusaan. masa tiba2 notif nya katanya masih terdaftar bekerja di perusahaan tersebut ... kocak ni wkwkkwkw,2025-06-13 06:35:52
2,FAJAR,kanapa apk nya susa kalau mau login masuk ngebuk tolong di perhatikan soalnya mau klaim jkp susanya minta ampun bulan lalu apk bagus bulan ni minta ampun susanya,2025-05-15 04:54:07
2,Suryaman,Lah fungsinya apa aplikasi ini klo akses apa-apa di teruskan ke browser🤔,2023-07-26 14:01:39
2,niki pratama,min kok skarang mau klaim jkp ga bisa teruz sie. mau masuk ke menu klaim nya muter terus. ada apa d tahun 2025 ini.,2025-01-06 23:22:35
2,Sendi Adit Tyawan,"kecewa parah webside Kemenaker gabisa dibuka untuk lihat lowongan side ke 2 sampe last side muter"" padahal buka yang Laen lancar. tolong ini gimana masa nyari kerja di negeri sendiri dipersulit.",2025-06-07 19:41:25
